"","new_cost","area","perimeter","solution","scenario","best_solution","per_circle","fragmentation"
"1",36881075.4050808,347199999992.769,102439999.999255,"r00001","1","NO",2088790.0510139,49.0427460383251
"2",36926517.3370551,346399999991.796,101919999.999158,"r00002","1","NO",2086382.22306243,48.8501094730177
"3",36616211.4535233,346399999992.224,101919999.998932,"r00003","1","YES",2086382.22306372,48.8501094728795
"4",36802860.1985339,346499999993.843,103099999.998679,"r00004","1","NO",2086683.35350577,49.4085505716353
"5",36842158.1177518,346199999993.374,102759999.999095,"r00005","1","NO",2085779.83176746,49.2669448778868
"6",36826802.298051,346499999992.576,102579999.998944,"r00006","1","NO",2086683.35350195,49.1593512867153
"7",36920368.15805,346499999992.364,102839999.998906,"r00007","1","NO",2086683.35350131,49.2839509292808
"8",36722113.3118564,346399999991.483,102899999.999064,"r00008","1","NO",2086382.22306148,49.3198220640859
"9",36858076.4880817,346699999992.615,102679999.998796,"r00009","1","NO",2087285.48404513,49.1930791373126
"10",36889112.834904,346299999993.61,103299999.998858,"r00010","1","NO",2086081.04916187,49.518689621557
"11",36920359.6197868,346399999992.944,102039999.998719,"r00001","2","NO",2086382.22306588,48.9076253002069
"12",36859620.1412036,346399999992.638,103259999.998832,"r00002","2","NO",2086382.22306496,49.4923695463334
"13",36685056.627591,346399999992.856,102559999.998572,"r00003","2","YES",2086382.22306562,49.1568605525579
"14",36997128.6476114,346499999993.038,102219999.998979,"r00004","2","NO",2086683.35350335,48.9868287046817
"15",36760124.6897211,346399999993.551,102499999.998882,"r00005","2","NO",2086382.22306772,49.1281026389169
"16",36938623.0089053,346299999992.008,102399999.998807,"r00006","2","NO",2086081.04915704,49.0872586375232
"17",36803666.4391228,346299999993.159,103239999.998986,"r00007","2","NO",2086081.04916051,49.4899275560423
"18",36798365.8362452,346299999992.396,102579999.998935,"r00008","2","NO",2086081.04915821,49.1735448343815
"19",36794896.5344102,346499999993.137,103619999.998858,"r00009","2","NO",2086683.35350364,49.6577498569082
"20",36928756.7896613,346399999992.134,102379999.998821,"r00010","2","NO",2086382.22306345,49.0705868115076
"21",36873557.354306,346499999992.125,99039999.9991033,"r00001","3","NO",2086683.3535006,47.462879230313
"22",36659027.1011624,346399999991.263,99299999.9991444,"r00002","3","NO",2086382.22306082,47.5943472397241
"23",36807693.5314953,347399999992.437,100459999.998893,"r00003","3","NO",2089391.5744382,48.0809826305079
"24",36718873.0894349,346399999992.127,98939999.998995,"r00004","3","NO",2086382.22306343,47.4217997571518
"25",36921117.8125634,346399999992.258,98919999.9989731,"r00005","3","NO",2086382.22306382,47.4122137858856
"26",36940839.5368723,346399999991.364,99579999.9990471,"r00006","3","NO",2086382.22306113,47.7285508371251
"27",36967451.1415096,346299999991.815,99059999.9990293,"r00007","3","NO",2086081.04915646,47.486170318783
"28",36642784.9316942,346399999992.025,99439999.9992455,"r00008","3","YES",2086382.22306312,47.6614490384474
"29",36906962.5469929,346299999991.93,99659999.9992046,"r00009","3","NO",2086081.04915681,47.7737909749418
"30",36925609.124679,346399999991.542,98739999.9990063,"r00010","3","NO",2086382.22306166,47.3259400447298
"31",36841258.8113921,346499999990.745,94139999.9992773,"r00001","4","YES",2086683.35349644,45.1146551974628
"32",36868504.2315357,346699999992.431,94839999.9993536,"r00002","4","NO",2087285.48404458,45.4370045325952
"33",36933581.9225616,346499999989.861,93899999.9991904,"r00003","4","NO",2086683.35349378,44.9996401427996
"34",37077015.1720815,346199999990.7,94659999.9991754,"r00004","4","NO",2085779.8317594,45.3835052759751
"35",36974709.7290712,346699999990.731,94819999.9993573,"r00005","4","NO",2087285.48403946,45.4274227097364
"36",36991666.5674971,346199999991.096,94819999.9992162,"r00006","4","NO",2085779.8317606,45.4602151940357
"37",36908094.8711453,346599999989.628,94079999.9993433,"r00007","4","NO",2086984.44048022,45.0793969396797
"38",36840105.975117,346399999989.767,94539999.9991771,"r00008","4","NO",2086382.22305632,45.3128860831101
"39",37165967.5416045,346599999989.465,94939999.9993066,"r00009","4","NO",2086984.44047973,45.4914747603403
"40",36892086.9165873,346299999990.542,94639999.9991516,"r00010","4","NO",2086081.04915263,45.367364819116
"41",36886470.4540965,346499999989.064,93619999.9992847,"r00001","5","NO",2086683.35349138,44.8654559124375
"42",36815969.1498125,346499999991.132,93579999.9991536,"r00002","5","YES",2086683.35349761,44.8462867364609
"43",37152595.4180917,346499999989.547,93519999.9992337,"r00003","5","NO",2086683.35349283,44.8175329729321
"44",37096894.7570744,346399999991.184,93799999.9992486,"r00004","5","NO",2086382.22306059,44.9582051469218
"45",36995106.7886613,346599999989.431,93819999.9993271,"r00005","5","NO",2086984.44047963,44.9548152729713
"46",37019832.5739756,347399999990.566,93559999.9992547,"r00006","5","NO",2089391.57443257,44.7785858544315
"47",37062051.2671928,346399999989.865,93319999.9989784,"r00007","5","NO",2086382.22305661,44.7281418369554
"48",36925130.0834111,346599999990.892,93019999.9993109,"r00008","5","NO",2086984.44048403,44.5714870675974
"49",37105157.7966377,346499999990.41,93639999.9988686,"r00009","5","NO",2086683.35349543,44.8750405000408
"50",37189104.9662103,346699999991.424,94299999.999212,"r00010","5","NO",2087285.48404155,45.1782953123507
"51",37014330.7989415,347399999987.384,88819999.9990918,"r00001","6","NO",2089391.574423,42.5099828516442
"52",36886670.3796579,346499999989.166,89259999.9995896,"r00002","6","NO",2086683.35349169,42.7760157525717
"53",37049449.0255048,346499999987.817,88919999.9993822,"r00003","6","NO",2086683.35348762,42.6130777584264
"54",36831997.2869987,347599999987.358,89379999.9989051,"r00004","6","YES",2089992.92472304,42.765695013417
"55",37084235.2266037,346199999986.64,88779999.9992375,"r00005","6","NO",2085779.83174717,42.5644157872934
"56",36928815.5359307,346199999987.505,89199999.9990136,"r00006","6","NO",2085779.83174978,42.7657793220596
"57",37137859.7691014,346599999986.968,88959999.9995064,"r00007","6","NO",2086984.44047221,42.6260964261802
"58",37061283.2179333,346499999988.945,89099999.9992185,"r00008","6","NO",2086683.35349102,42.699339049288
"59",36902326.0691999,346199999987.49,89019999.9989411,"r00009","6","NO",2085779.83174973,42.6794806642
"60",36926392.5754246,346399999987.881,89019999.9991851,"r00010","6","NO",2086382.22305064,42.6671580191203
"61",37280790.3456746,346399999987.888,85199999.9993047,"r00001","7","NO",2086382.22305066,40.8362375110382
"62",37408957.3876094,348399999985.062,84399999.999137,"r00002","7","NO",2092396.59764946,40.3365213334555
"63",37308659.3511378,346599999985.492,84999999.9991412,"r00003","7","NO",2086984.44046777,40.728621809988
"64",37191979.3598422,348199999985.981,84979999.9992249,"r00004","7","NO",2091795.93836103,40.6253776674835
"65",37278324.4360638,347999999984.034,85479999.9989326,"r00005","7","NO",2091195.1065351,40.8761476783313
"66",37023245.1013279,346499999986.074,85079999.9992108,"r00006","7","NO",2086683.35348238,40.7728368835762
"67",37074369.9196436,347499999986.346,85659999.9994712,"r00007","7","NO",2089692.27120125,40.9916814930028
"68",37016554.3952849,349199999985.003,84519999.9993989,"r00008","7","YES",2094797.51249274,40.3475751213887
"69",37206865.0911935,349699999986.501,85659999.9993468,"r00009","7","NO",2096296.68789314,40.8625365360083
"70",37174839.6665973,346399999986.073,85119999.9994912,"r00010","7","NO",2086382.22304519,40.7978936262473
"71",37294494.3635541,351899999983.687,82699999.9996794,"r00001","8","NO",2102880.36249997,39.3270114051391
"72",37273403.9579954,347499999986.658,81899999.9993349,"r00002","8","NO",2089692.27120219,39.1923735030222
"73",37503432.7797914,346399999984.269,80859999.9991397,"r00003","8","NO",2086382.22303976,38.7560817506058
"74",37156608.1095352,346999999984.336,81319999.9993814,"r00004","8","YES",2088188.35428842,38.942847196891
"75",37398530.3610461,347799999983.544,82479999.9993051,"r00005","8","NO",2090594.10203591,39.4528999766059
"76",37408663.5264207,346599999983.888,81459999.9995203,"r00006","8","NO",2086984.44046294,39.0323945019209
"77",37403119.0779751,349799999984.109,81959999.9992582,"r00007","8","NO",2096596.39432656,39.0919302451553
"78",37466603.2776294,348699999984.491,81259999.9995102,"r00008","8","NO",2093297.26341773,38.8191402241824
"79",37281771.9248055,347899999985.422,80979999.9993931,"r00009","8","NO",2090894.62588442,38.7298331522276
"80",37528429.4190424,348299999984.963,80819999.9993021,"r00010","8","NO",2092096.28956039,38.6311090950239
"81",38572989.9241651,352299999978.427,75239999.9990301,"r00001","9","NO",2104075.18096851,35.7591785120516
"82",38185765.5454429,352699999979.28,74519999.9992737,"r00002","9","YES",2105269.32135157,35.3968963702146
"83",38442962.7282291,352399999975.728,75059999.9992208,"r00003","9","NO",2104373.7795827,35.6685683539097
"84",38385068.0133756,347499999978.568,74939999.9992243,"r00004","9","NO",2089692.27117786,35.8617395646413
"85",38554821.5407858,348799999979.814,73419999.9992867,"r00005","9","NO",2093597.39922336,35.0688246109412
"86",38413168.50257,350399999981.404,74799999.9993744,"r00006","9","NO",2098393.7340351,35.646313075639
"87",38533114.5063617,355199999978.74,75539999.999418,"r00007","9","NO",2112717.40702661,35.7549001812464
"88",38304357.5503887,353499999978.406,75279999.9994173,"r00008","9","NO",2107655.5724085,35.7174108449759
"89",38401841.598159,350999999980.559,75319999.9996324,"r00009","9","NO",2100189.53558858,35.8634298111213
"90",38461994.2590631,351999999980.196,74139999.9992654,"r00010","9","NO",2103179.13074602,35.2513958109537
"91",39746194.7215447,354399999975.451,69939999.9994199,"r00001","10","NO",2110336.87960487,33.1416280857089
"92",39780817.5118482,359499999976.83,70999999.9997546,"r00002","10","NO",2125467.0629231,33.4044226035241
"93",39612955.3767872,352399999977.588,71079999.9995151,"r00003","10","NO",2104373.77958825,33.7772693658172
"94",39771386.9961098,353299999974.495,70259999.9993883,"r00004","10","NO",2107059.2629854,33.3450516716079
"95",39783581.928117,351499999977.939,70299999.9993254,"r00005","10","NO",2101684.8647383,33.4493535062305
"96",39771481.8282914,357399999973.985,70559999.9993801,"r00006","10","NO",2119250.06953994,33.294796595051
"97",39851083.3222421,351799999977.836,70199999.9996583,"r00007","10","NO",2102581.55177226,33.3875277943379
"98",39590461.6934124,349999999976.476,69539999.9993599,"r00008","10","YES",2097195.67869336,33.1585653670077
"99",39564194.6016105,356299999973.981,71399999.9991083,"r00009","10","NO",2115986.25930539,33.743130270868
"100",39650923.859826,348599999977.377,69839999.9993922,"r00010","10","NO",2092997.08453722,33.3684172402153
"101",41051828.5972426,349299999975.726,67299999.9992545,"r00001","11","NO",2095097.43336452,32.1226110669121
"102",41295846.0060043,357199999973.313,68899999.9994132,"r00002","11","NO",2118657.02347353,32.5206011336615
"103",40730958.7613618,351099999973.46,67139999.9996239,"r00003","11","YES",2100488.68656034,31.9639902986429
"104",41257610.5517391,356199999970.25,68239999.9993473,"r00004","11","NO",2115689.29960448,32.2542634271037
"105",41036270.2822061,353399999972.228,68339999.9994847,"r00005","11","NO",2107357.43877624,32.4292399295919
"106",41032204.6252033,359199999972.046,68219999.9995478,"r00006","11","NO",2124580.03481312,32.109875307921
"107",41351271.5038694,352899999972.998,68299999.9993127,"r00007","11","NO",2105866.1375947,32.4332106300566
"108",40831913.597638,359699999973.544,68679999.9995512,"r00008","11","NO",2126058.2093754,32.3039132685498
"109",41018166.499315,350399999973.678,67919999.9993505,"r00009","11","NO",2098393.73401197,32.3676147609785
"110",41229734.5040885,356599999972.909,68519999.9994765,"r00010","11","NO",2116876.88842314,32.3684387950009
"111",47274352.7155231,358299999970.709,63979999.9997254,"r00001","12","NO",2121916.72568855,30.1519843946582
"112",47560769.8736271,366199999970.005,66519999.9999253,"r00002","12","NO",2145181.79150425,31.009026956769
"113",47806284.5433781,364399999972.938,64019999.9996536,"r00003","12","YES",2139903.14068941,29.917241945366
"114",47199057.0708801,364399999969.863,64419999.9997875,"r00004","12","NO",2139903.14068038,30.1041662938562
"115",47980423.5584781,361999999968.66,65679999.9994614,"r00005","12","NO",2132844.61740751,30.7945545884612
"116",47748679.2277928,357599999972.247,62899999.9999171,"r00006","12","NO",2119842.94968898,29.672009433126
"117",47574876.7364775,367399999967.042,66079999.9999875,"r00007","12","NO",2148693.6876394,30.7535691942133
"118",47657523.4627816,364099999966.006,65419999.9999197,"r00008","12","NO",2139022.09905859,30.5840692476772
"119",47679433.7285041,366399999966.049,63599999.9998392,"r00009","12","NO",2145767.50666855,29.6397441951121
"120",47192532.954715,352199999970.712,62819999.9995755,"r00010","12","NO",2103776.53994174,29.8605858592354
"121",55649076.3005374,376699999969.092,64999999.9994841,"r00001","13","NO",2175718.68816736,29.8751857733201
"122",53002372.4249738,374499999969.427,63539999.9994012,"r00002","13","NO",2169356.07835443,29.2897973889098
"123",52587210.7160103,378399999968.343,63299999.9995084,"r00003","13","NO",2180622.534983,29.0284077065184
"124",55087554.3116837,378999999965.417,64399999.9998959,"r00004","13","NO",2182350.67356453,29.5094646245411
"125",54180241.2939053,367299999969.224,63279999.9997116,"r00005","13","NO",2148401.24889821,29.4544606284158
"126",53403395.9785534,390599999966.59,65539999.9996144,"r00006","13","NO",2215496.4142487,29.5825349019307
"127",53228953.1350335,364999999965.5,63139999.9995832,"r00007","13","YES",2141664.13655539,29.4817468910584
"128",54855123.2918895,391199999965.355,65519999.9996154,"r00008","13","NO",2217197.37143583,29.5508198068923
"129",53913506.3044533,368799999968.836,62859999.9993425,"r00009","13","NO",2152783.6589365,29.1994041010121
"130",53395483.8459367,373499999968.621,63019999.9997033,"r00010","13","NO",2166457.80574394,29.0889579444465
"131",59714324.2812445,387999999969.505,64679999.9994059,"r00001","14","NO",2208110.458738,29.2920128807199
"132",60256637.3301465,392099999968.152,65339999.9997876,"r00002","14","NO",2219746.36332398,29.435795494195
"133",60125296.4528447,402199999967.198,65559999.9996062,"r00003","14","NO",2248153.52248975,29.1617095290721
"134",61818883.344079,414899999962.13,68639999.9994273,"r00004","14","NO",2283371.88548465,30.0608063170833
"135",60184614.5269472,401499999962.852,66499999.9999027,"r00005","14","NO",2246196.29623023,29.6056048669963
"136",61023386.7369805,395899999967.915,65079999.9999,"r00006","14","NO",2230476.65888294,29.177619833284
"137",60742885.3378021,388499999964.857,63559999.9993025,"r00007","14","NO",2209532.75224354,28.766262882849
"138",60253841.1789411,402099999966.814,65679999.9993872,"r00008","14","NO",2247874.02307531,29.2187192543515
"139",59583654.6125919,391199999971.298,62799999.999843,"r00009","14","YES",2217197.37145267,28.3240458465353
"140",60516644.496715,394499999972.023,65799999.9994641,"r00010","14","NO",2226529.40852195,29.5527199181009
